tconst	averageRating	numVotes
tt0000629	5.9	85
tt0000630	3.1	31
tt0000631	2	11
tt0000632	4.9	64
tt0000634	3.9	29
tt0000636	4.4	21
tt0000637	5.5	824
tt0000638	5.1	91
tt0000639	4.9	102
tt0000640	4.4	156
tt0000641	4.7	190
tt0000642	5.5	70
tt0000643	6	21
tt0000644	5.5	64
tt0000645	5.1	198
tt0000648	4.6	186
tt0000650	7.4	23
tt0000651	4.8	81
tt0000653	4.5	241
tt0000654	4.8	128
tt0000658	6.4	308
tt0000659	4.8	86
tt0000660	5.7	62
tt0000661	7.8	24
tt0000662	4.2	71
tt0000663	5.7	62
tt0000665	6	64
tt0000666	5.4	33
tt0000668	6.7	62
tt0000669	4.9	174
tt0000671	5.8	17
tt0000672	6.6	47
tt0000673	5.7	16
tt0000674	4.7	57
tt0000675	4.2	22
tt0000676	3.6	18
tt0000677	5.8	22
tt0000679	5.2	77
tt0000680	5.5	54
tt0000681	5.7	44
tt0000682	6.9	3015
tt0000683	5.6	97
tt0000684	5	140
tt0000685	5.9	48
tt0000689	6.4	59
tt0000690	6.5	46
tt0000694	5.6	54
tt0000695	6	57
tt0000697	4.9	33
tt0000698	6.1	28
tt0000699	6.4	27
tt0000700	5	83
tt0000704	5.5	62
tt0000706	5.5	32
tt0000707	4.7	28
tt0000708	4.4	47
tt0000709	5.4	76
tt0000711	4.2	26
tt0000712	5.2	22
tt0000713	5.6	26
tt0000715	4.8	14
tt0000717	5.9	24
tt0000720	6.8	21
tt0000722	4.7	13
tt0000724	5.2	46
tt0000725	4	25
tt0000727	6	21
tt0000728	5.8	144
tt0000730	5.9	77
tt0000731	5.4	26
tt0000733	6.1	33
tt0000734	4	17
tt0000736	3.6	17
tt0000737	4.7	39
tt0000738	7.9	22
tt0000739	6.2	18
tt0000740	5.8	21
tt0000741	5.5	30
tt0000743	6.7	17
tt0000746	7.8	19
tt0000747	5.8	35
tt0000748	6.1	30
tt0000749	5.8	899
tt0000750	5.2	17
tt0000752	5.1	152
tt0000754	6.8	78
tt0000755	5.7	240
tt0000756	5.2	157
tt0000758	5.8	32
tt0000759	6.8	14
tt0000760	4.8	10
tt0000762	5.7	46
tt0000764	5.5	152
tt0000765	5.6	17
tt0000767	6.8	25
tt0000768	5.8	11
tt0000769	5.3	185
tt0000770	5.4	181
tt0000771	6.1	23
tt0000772	6.4	20
tt0000775	7.5	11
tt0000776	5.6	147
